# New York state Covid-19 epidemic data simulation. 
# Simulation data involves 178 days in year 2020. 
# From 6th March 2020 to 31st August
# Confirmed, Hospitalized, Dead, Infected, Asymptomatic, Recovered, Infected+Asymptomatic. 

# 	 C	    H	  D	  I	   Ia	  R	  I+Ia

    67      9      3   8994  12762    164  21756 
    85      6      0  10769  15348    215  26117 
   100     13      2  12679  18314    265  30993 
   129     10      4  14914  21649    324  36563 
   139     21      1  17459  25535    414  42994 
   178     26      2  20376  29962    527  50338 
   236     27      2  23757  34957    662  58714 
   315     39      2  27482  40536    845  68018 
   349     31      9  31373  46601   1064  77974 
   456     56      8  35716  53531   1326  89247 
   510     64     13  40374  60927   1691 101301 
   633     65     10  45559  68977   2176 114536 
   821     88     16  50969  77664   2782 128633 
   987    112     16  56543  86836   3477 143379 
  1130    137     20  62285  96402   4383 158687 
  1321    162     22  68310 106411   5559 174721 
  1579    210     25  74580 116754   6964 191334 
  1788    247     33  80754 127339   8678 208093 
  2085    299     32  86841 138087  10800 224928 
  2353    402     51  90181 144885  13397 235066 
  2594    421     67  93035 150825  16364 243860 
  2914    532     93  94689 155434  19813 250123 
  3186    563     92  95755 159060  23761 254815 
  3448    661    119  96173 161846  28321 258019 
  3748    716    146  96536 164539  33577 261075 
  4023    798    169  98424 169514  39472 267938 
  4252    905    188  98084 171138  45805 269222 
  4353   1029    223  97186 171787  52858 268973 
  4363   1067    262  96136 172331  60570 268467 
  4555   1167    282  94957 172018  68871 266975 
  4574   1226    295  93341 171126  77630 264467 
  4519   1239    341  91449 169683  86747 261132 
  4580   1253    358  89713 168038  96211 257751 
  4394   1349    403  88033 166471 105990 254504 
  4678   1461    419  86182 164040 115804 250222 
  4451   1422    427  83251 160574 125650 243825 
  4363   1409    493  80169 156501 135615 236670 
  4181   1424    493  78035 153744 145781 231779 
  4148   1389    487  75298 149716 155966 225014 
  4055   1345    505  71150 143514 166000 214664 
  3987   1331    511  67546 138042 175894 205588 
  3953   1315    490  64008 132758 185436 196766 
  3713   1348    503  60569 127748 194982 188317 
  3546   1270    466  57860 123476 204478 181336 
  3352   1340    492  54655 118305 213707 172960 
  3253   1241    502  52592 114743 222560 167335 
  3259   1201    502  51694 112763 231290 164457 
  2989   1135    494  49119 108479 239808 157598 
  2664   1070    538  47466 105319 247889 152785 
