# New York state Covid-19 epidemic data simulation. 
# Simulation data involves 178 days in year 2020. 
# From 6th March 2020 to 31st August
# Confirmed, Hospitalized, Dead, Infected, Asymptomatic, Recovered, Infected+Asymptomatic. 

# 	 C	    H	  D	  I	   Ia	  R	  I+Ia

    84     15      2   8865   9092    175  17957 
   104     17      1  10462  10822    219  21284 
   122     13      4  12303  12838    277  25141 
   158     21      5  14359  15089    365  29448 
   198     27      0  16763  17832    443  34595 
   198     24      6  19450  20836    582  40286 
   283     38      2  22582  24215    750  46797 
   344     43      8  26078  28019    932  54097 
   426     50      5  29858  32321   1154  62179 
   537     64      8  34022  37064   1432  71086 
   642     65     15  38580  42243   1755  80823 
   787    108     14  43388  47760   2154  91148 
   938    106     15  48553  53759   2687 102312 
  1108    155     15  54056  60211   3299 114267 
  1277    206     29  59936  67166   4077 127102 
  1477    203     36  65922  74318   5146 140240 
  1728    257     35  72189  81909   6400 154098 
  2081    328     42  78417  89722   7868 168139 
  2340    392     57  84743  97920   9686 182663 
  2753    423     74  88267 103167  11792 191434 
  2939    556    108  90888 107936  14277 198824 
  3222    611    128  92514 111553  17116 204067 
  3646    666    131  93685 114816  20463 208501 
  3953    790    167  94022 117385  24294 211407 
  4182    851    164  94306 119957  28588 214263 
  4446    985    191  96240 124437  33324 220677 
  4629   1075    234  95882 126367  38639 222249 
  5019   1159    257  94883 127555  44324 222438 
  4836   1290    316  93459 128645  50554 222104 
  4816   1332    350  91986 129171  57314 221157 
  4670   1424    376  90444 129353  64697 219797 
  4788   1402    420  88889 129029  72221 217918 
  4866   1512    434  87141 128470  80000 215611 
  4688   1481    466  85516 128163  87946 213679 
  4945   1498    488  83690 127347  96025 211037 
  4712   1488    530  80784 125542 104345 206326 
  4588   1410    517  77677 123122 112634 200799 
  4477   1582    550  75671 121699 120994 197370 
  4505   1389    508  73021 119368 129588 192389 
  4201   1456    527  68516 115027 137874 183543 
  4137   1391    552  64781 111336 146217 176117 
  3916   1488    598  61169 107690 154347 168859 
  3693   1318    550  57837 104211 162481 162048 
  3591   1362    546  55337 101328 170525 156665 
  3399   1278    542  52127  97665 178127 149792 
  3210   1227    527  50232  95251 185594 145483 
  3145   1176    524  49702  94198 192795 143900 
  2982   1156    510  47388  91271 199763 138659 
  2784   1038    512  45865  89235 206704 135100 
  2641   1036    469  44210  86743 213351 130953 
  2537    549    386  42209  83946 220241 126155 
  2493    587    378  40788  81674 226910 122462 
  2410    573    364  38467  78428 233311 116895 
  2263    507    276  36057  75138 239225 111195 
  2221    474    259  35023  73365 245016 108388 
  2169    436    238  32967  70514 250691 103481 
  1914    419    190  31281  68003 255976  99284 
  1925    411    189  29994  65806 261041  95800 
  1749    393    175  28779  63826 265998  92605 
  1672    378    170  28241  62257 270785  90498 
  1669    356    162  26948  59919 275191  86867 
  1518    346    165  25279  57527 279617  82806 
  1398    362    142  23761  55039 283785  78800 
  1416    283    134  22363  52650 287847  75013 
  1277    309    137  20947  50337 291678  71284 
  1278    280    123  20152  48589 295298  68741 
  1233    265    125  19402  47078 298847  66480 
  1130    245     95  18711  45564 302224  64275 
  1065    216    104  18218  44228 305467  62446 
  1043    232     83  18146  43304 308554  61450 
  1007    241    104  17882  42296 311542  60178 
   982    189     80  17478  41186 314385  58664 
   891    208     77  17164  40175 317108  57339 
   890    189     76  17058  39324 319820  56382 
   930    175     81  16519  38046 322340  54565 
   859    188     72  15996  36881 324788  52877 
   881    154     75  15532  35789 327194  51321 
   825    154     78  15481  35217 329520  50698 
   851    136     68  15929  35153 331786  51082 
   807    156     60  15930  34590 334000  50520 
   811    170     66  16239  34394 336196  50633 
   820    156     67  15498  33163 338275  48661 
   776    134     59  15724  32920 340383  48644 
   766    147     44  15139  31839 342483  46978 
   763    154     55  14373  30533 344364  44906 
   718    141     51  13610  29415 346188  43025 
   800    137     35  13395  28861 348043  42256 
   724    141     48  12743  27893 349854  40636 
   713    127     40  13286  28045 351630  41331 
   752    135     49  12573  26980 353436  39553 
   620    129     50  11931  26060 355134  37991 
   649    149     47  11687  25462 356871  37149 
   590    150     46  11093  24502 358510  35595 
   608    124     38  10878  23952 360091  34830 
   571    130     52  10861  23630 361606  34491 
   600    117     37  10324  22762 363122  33086 
   540    103     35   9904  22047 364642  31951 
   554    115     49   9520  21307 366018  30827 
   477    119     39   9100  20635 367397  29735 
   473    104     49   9204  20447 368761  29651 
