# New York state Covid-19 epidemic data simulation. 
# Simulation data involves 178 days in year 2020. 
# From 6th March 2020 to 31st August
# Confirmed, Hospitalized, Dead, Infected, Asymptomatic, Recovered, Infected+Asymptomatic. 

# 	 C	    H	  D	  I	   Ia	  R	  I+Ia

    62      7      1   9088  13259    137  22347 
    85      3      1  10789  15859    185  26648 
    97     10      2  12767  18812    227  31579 
   117     13      0  15117  22207    297  37324 
   159     30      0  17684  26117    364  43801 
   183     20      2  20630  30555    481  51185 
   247     32      1  23957  35634    601  59591 
   275     36      7  27631  41291    788  68922 
   366     36      3  31816  47507   1001  79323 
   440     51     14  36121  54413   1285  90534 
   545     70     13  41065  61914   1664 102979 
   654     79      3  46258  70197   2132 116455 
   850    106     12  51786  78959   2746 130745 
   959    111      7  57523  88374   3522 145897 
  1105    142     27  63590  98277   4444 161867 
  1317    167     24  69793 108567   5620 178360 
  1545    227     29  76242 119258   7115 195500 
  1814    241     38  82777 130430   8950 213207 
  2031    300     39  89245 141498  11143 230743 
  2345    361     54  92969 148343  13684 241312 
  2638    414     56  96047 154663  16704 250710 
  2997    492     95  97919 159539  20126 257458 
  3194    577    107  99208 163644  24240 262852 
  3630    656     92  99884 166654  28924 266538 
  3820    743    149 100276 169703  34135 269979 
  4059    799    158 102377 175175  39895 277552 
  4318    891    198 102308 177192  46345 279500 
  4553    990    214 101322 178271  53517 279593 
  4627   1113    244 100356 179011  61343 279367 
  4591   1141    266  99175 178874  69675 278049 
  4587   1302    293  97644 178214  78754 275858 
  4541   1261    312  96051 176820  88294 272871 
  4622   1408    354  94419 175172  97787 269591 
  4735   1348    394  93016 173949 107878 266965 
  4813   1421    442  91025 171653 117967 262678 
  4718   1448    434  88142 168304 128150 256446 
  4576   1322    468  84879 164169 138416 249048 
  4539   1502    470  82652 161347 148822 243999 
  4439   1507    505  79716 157499 159384 237215 
  4365   1391    478  75277 151051 169842 226328 
  4257   1424    568  71306 145293 180230 216599 
  4104   1419    529  67525 139758 190393 207283 
  3983   1362    489  63975 134454 200337 198429 
  3680   1390    575  61130 130158 210081 191288 
  3634   1348    552  57806 124872 219614 182678 
  3395   1354    528  55532 121306 228893 176838 
  3335   1284    508  54608 119317 238189 173925 
  3187   1181    534  52013 114844 246935 166857 
  3085   1214    532  50240 111460 255593 161700 
  2827   1115    529  48195 107788 263881 155983 
  2735    632    407  45984 103725 272488 149709 
  2596    595    402  44251 100396 280852 144647 
  2494    589    370  41818  95754 288721 137572 
  2431    528    337  39324  91360 296122 130684 
  2296    553    299  38008  88724 303412 126732 
  2287    497    263  35871  84684 310077 120555 
  2017    449    244  34000  81341 316636 115341 
  2015    471    222  32541  78175 322993 110716 
  1866    451    226  31221  75326 329023 106547 
  1752    417    181  30377  73125 334835 103502 
  1753    353    189  28958  70055 340356  99013 
  1603    408    182  27205  66764 345648  93969 
  1463    350    189  25602  63508 350619  89110 
  1548    337    144  24139  60484 355364  84623 
  1352    307    157  22591  57583 359910  80174 
  1252    296    133  21632  55408 364258  77040 
  1220    274    131  20877  53421 368471  74298 
  1253    287    135  20121  51508 372406  71629 
  1214    257    105  19438  49842 376180  69280 
  1148    251    123  18995  48726 379787  67721 
  1023    252    131  18511  47499 383366  66010 
   978    249     96  18054  46016 386786  64070 
   924    228     96  17670  44771 390146  62441 
   926    207     86  17449  43602 393182  61051 
   926    203     81  16815  42044 396240  58859 
   895    193     83  16256  40630 399089  56886 
   888    157     75  15686  39226 401834  54912 
   836    173     83  15502  38449 404529  53951 
   850    149     77  15763  38233 407217  53996 
   872    177     79  15595  37543 409730  53138 
   745    160     73  15705  37251 412237  52956 
   791    145     54  14997  35713 414607  50710 
   747    158     56  15076  35299 416952  50375 
   705    128     73  14490  34064 419316  48554 
   718    153     45  13785  32510 421477  46295 
   733    139     53  13067  31118 423599  44185 
   656    144     53  12765  30359 425681  43124 
